id,rua,numero,bairro,cidade,estado,cep
356,Morro Gomes,428,Grota,Sá da Praia,ES,24735-573
357,Setor Maria Isis Moraes,1325,Vila Puc,Teixeira,MT,68867-515
358,Rua de Cassiano,3312,Das Industrias I,Abreu Paulista,PB,70249-622
359,Rua Alexandre Moreira,6160,Vila Ouro Minas,da Rocha de Silva,MS,83981-276
360,Lagoa Castro,8917,Vila Sumaré,Lima,SC,03708-340
361,Trecho Heloisa Melo,7991,Vila Cemig,Guerra,MS,25911065
362,Vila de Silveira,3910,Coração Eucarístico,Cavalcante da Mata,BA,39687-466
363,Chácara Lorenzo Fogaça,4962,Senhor Dos Passos,Viana do Sul,SP,06199182
364,Lagoa Duarte,7769,Primeiro De Maio,Nunes de Pires,AM,96415-559
365,Largo de Nascimento,4986,Vila Nova,Monteiro das Pedras,CE,36967945
366,Chácara Ribeiro,5749,São Paulo,Moura,MA,52035764
367,Parque Fernando Garcia,6022,Vila Tirol,da Mata,SC,99230-254
368,Rodovia de Souza,5542,Tirol,Aragão de Nunes,RS,85254215
369,Jardim de da Rocha,9217,Unidas,Montenegro Grande,CE,62116233
370,Recanto de Lima,1212,São Tomaz,Moura,AL,03629744
371,Chácara Sampaio,5517,São Cristóvão,Abreu dos Dourados,RO,90755-420
372,Morro Ayla Albuquerque,1192,Conjunto Serra Verde,da Mata,BA,44662-348
373,Praia Cirino,915,Pindorama,Nogueira,AL,26330274
374,Rua de Santos,2625,Vila Real 2ª Seção,Novais de Carvalho,SE,42915-073
375,Viaduto Sophia Aparecida,5895,Pedreira Padro Lopes,da Cruz do Sul,SP,31114183
376,Conjunto Sofia Pinto,4344,São José,das Neves de Goiás,MT,12969-534
377,Via de Rios,2223,João Alfredo,Ferreira,MS,99445052
378,Aeroporto Ana Julia Borges,860,Vila Cemig,das Neves,PR,06118688
379,Pátio de Borges,2371,Vila Primeiro De Maio,Ribeiro Verde,PI,66244943
380,Colônia Juan Mendonça,4464,São Gonçalo,Fernandes do Norte,ES,22077-490
381,Quadra Asafe da Rocha,4842,Biquinhas,Farias,SC,64438-393
382,Lago de Borges,6161,Vila Formosa,Porto,CE,11524-202
383,Favela Bruno Sampaio,7477,Vila Copacabana,Castro da Mata,PA,73068016
384,Área Cassiano,6787,Santa Efigênia,Porto,RJ,17047-658
385,Praia Paulo Pires,7553,Vila Aeroporto,Pacheco de Pimenta,SE,68487-100
386,Parque Guilherme Carvalho,8389,Inconfidência,Almeida das Pedras,RR,75193-298
387,Conjunto Luiz Miguel Pacheco,5556,São Jorge 2ª Seção,da Rocha,AC,75071-195
388,Via Lorena Aparecida,9181,Europa,Andrade,AP,71497692
389,Vereda de Pires,5909,Havaí,Sousa,BA,23415-973
390,Vale Sá,5501,Alto Barroca,Farias do Norte,RR,33055-533
391,Fazenda Fonseca,8996,Garças,Santos,PE,06943827
392,Conjunto Emanuel Cavalcanti,7023,Vila Atila De Paiva,Mendes da Prata,GO,39491-654
393,Fazenda de Rocha,3064,Vila Puc,Costela,SC,15675-465
394,Lagoa de Sousa,6669,Mineirão,Carvalho Grande,BA,07092-074
395,Morro Oliver Sales,3427,Vila Paquetá,Cirino da Mata,RR,57477362
396,Estação Vinícius da Cunha,9028,Guaratã,Rodrigues,PB,43826-841
397,Condomínio de Sousa,5458,Itapoa,Alves das Pedras,RR,66089-541
398,Colônia Beatriz Costela,4417,Conjunto Califórnia Ii,Aparecida,SE,02686402
399,Núcleo Ana Sophia Jesus,6352,Venda Nova,Câmara,SC,95305656
400,Praça Pimenta,2895,Cabana Do Pai Tomás,Macedo da Mata,RO,13375988
401,Vale Igor Monteiro,4344,Mirante,da Conceição,TO,23649-282
402,Vale de da Cruz,6785,Senhor Dos Passos,Sousa da Serra,SE,41509-385
403,Trevo Souza,4722,Vila Antena,Castro de Cardoso,PA,63043814
404,Núcleo Gonçalves,6294,Vila Engenho Nogueira,Andrade de Gonçalves,BA,45162-295
405,Estação Heloísa Souza,9034,Nova Suíça,Rodrigues do Campo,AP,76905-002
406,Estrada de Marques,4166,Monsenhor Messias,Montenegro da Mata,MT,36829146
407,Setor de Martins,1788,Vila Esplanada,Vieira,RS,21639-119
408,Via Théo Andrade,7860,Vila Independencia 2ª Seção,Gonçalves do Sul,ES,92433130
409,Rodovia de Martins,8897,Antonio Ribeiro De Abreu 1ª Seção,Correia,PR,33561-687
410,Lago Ana Sophia Castro,6427,Pongelupe,Freitas de Goiás,SC,57372794
411,Favela Albuquerque,118,Vila Paraíso,Fernandes Alegre,PI,38552833
412,Pátio de Leão,169,Comiteco,Duarte,BA,70823991
413,Estação Peixoto,5019,Novo Aarão Reis,Rios da Serra,CE,09068-697
414,Parque de Montenegro,6746,Conjunto Paulo Vi,Silveira de Mendonça,MA,32436-546
415,Passarela Sousa,7827,Vila Pinho,Rezende de Fogaça,AP,16970-564
416,Praça Enzo Moraes,1227,Vila Betânia,Lima da Mata,RS,59400452
417,Trecho de Garcia,2923,Distrito Industrial Do Jatoba,Lima de Santos,MG,13397-635
418,Fazenda Duarte,4629,Glória,Cunha do Norte,CE,36147558
419,Estação de Novaes,9722,Liberdade,da Rosa de Brito,PI,37297409
420,Campo de Monteiro,1292,Vila Madre Gertrudes 4ª Seção,Costela Grande,RN,98584-296
421,Praça Souza,9998,Cenaculo,Novais da Mata,RJ,33778-431
422,Recanto de Silveira,5833,Bonfim,Moraes,MS,28726-527
423,Setor Rebeca Oliveira,477,Santa Isabel,da Rosa,RJ,59665052
424,Campo Machado,3807,Vila Paquetá,Moura,PE,66530-196
425,Trevo Cirino,8024,Vila Paquetá,Freitas da Prata,AL,96338415
426,Colônia de Aragão,1512,Santana Do Cafezal,Cavalcanti do Galho,GO,63869-280
427,Praça Raquel Ribeiro,3376,Acaiaca,Costa,PI,97683-339
428,Lago de Sampaio,9034,Varzea Da Palma,Lopes de Cavalcanti,MA,04585-448
429,Trevo Moraes,6043,Nova Granada,das Neves,MG,21991-353
430,Feira Mariah Guerra,1447,São Luiz,Machado de Fernandes,PE,75968796
431,Travessa Rezende,7658,Conjunto Providencia,Santos de Araújo,AL,13459-492
432,Morro de Guerra,3129,Bandeirantes,Mendes,MT,27350633
433,Setor Diogo Caldeira,3506,Liberdade,Campos,RO,71006444
434,Alameda Alícia Andrade,3284,Paquetá,da Cunha da Prata,RS,40034-857
435,Ladeira Nogueira,6114,Grota,Abreu,RJ,68977729
436,Aeroporto de Cavalcante,5939,Parque São José,Alves de Silveira,PB,40591-724
437,Praia de da Luz,8852,Parque São José,Cassiano,PI,64332-129
438,Trevo de Borges,49,Flavio De Oliveira,Pacheco de Minas,RN,30327305
439,Morro de Abreu,9335,Vila Nova,Correia,RJ,82044946
440,Distrito de da Cunha,6552,Custodinha,Pimenta das Pedras,PA,92927-625
441,Praia da Cunha,4354,Conjunto Califórnia I,Câmara,CE,88472-750
442,Praça de Lopes,1927,Campo Alegre,Barbosa do Campo,PI,66853-768
443,Viela Almeida,7962,Vila Tirol,Fogaça,SP,92543-208
444,Vale Maysa Cunha,8369,Ventosa,Cassiano do Galho,CE,01043764
445,Jardim Araújo,6288,Vila Suzana Segunda Seção,da Paz,RO,40899-164
446,Feira de Fogaça,8552,Graça,Silveira,PR,75037602
447,Via Anthony Gabriel da Costa,4372,Pindorama,Pinto de Barbosa,AL,04150316
448,Campo Kevin Moura,7502,Vila Ipiranga,Peixoto,AC,50651228
449,Condomínio Oliveira,6294,Santa Rita De Cássia,Casa Grande,RJ,87399-110
450,Vereda Vargas,2505,Novo Tupi,Siqueira Verde,RO,74930-737
451,Vale Rodrigues,2272,Engenho Nogueira,Cavalcanti,RO,59816130
452,Feira de Lima,7485,Novo Das Industrias,Vieira de Sousa,PR,88016361
453,Chácara de Rios,6005,Colégio Batista,Mendonça,MG,91098-199
454,Praça Otávio Castro,1922,Flavio Marques Lisboa,Aparecida,RJ,57115-714
455,Travessa de Cirino,1864,Esperança,Leão,SP,76967-864
456,Núcleo Pires,441,Petropolis,Costa,BA,01900-590
457,Morro de Ramos,9595,Manacas,Ferreira de Goiás,CE,61600666
458,Passarela Clarice Macedo,7939,Piratininga,Leão de Barros,AM,91827-921
459,Jardim de Oliveira,2502,João Paulo Ii,Macedo Alegre,ES,12636-206
460,Pátio Laís Jesus,1254,Canadá,Nascimento,ES,82595487
461,Passarela Mendonça,7610,Miramar,Borges,SE,63027-939
462,Distrito Aparecida,2075,Boa Viagem,Rezende da Serra,TO,13848320
463,Núcleo Daniel Silveira,3794,Beija Flor,Martins,TO,04204706
464,Estrada Pacheco,7879,Casa Branca,Araújo de Minas,BA,56998-725
465,Conjunto Maria Flor Castro,8344,Olaria,Sales dos Dourados,ES,02088-602
466,Fazenda Cunha,4375,Vila São Gabriel Jacui,Garcia da Praia,MT,74652-946
467,Favela de da Rocha,4141,Colégio Batista,Costela de Campos,TO,76456087
468,Quadra Ana Sophia Cavalcanti,6869,Cabana Do Pai Tomás,Gonçalves,RR,64084173
469,Avenida Câmara,8378,Conjunto São Francisco De Assis,Santos,RR,24748-407
470,Área Benício Pinto,3718,Vila Canto Do Sabiá,Guerra de Mendes,SC,96441919
471,Jardim de Campos,8347,Álvaro Camargos,Macedo,RO,76159468
472,Esplanada Nathan Correia,199,Marieta 1ª Seção,Farias do Oeste,MS,52019342
473,Morro de Guerra,4550,Flamengo,da Cruz,PR,26458302
474,Trevo Costa,7027,Ipiranga,Viana,MT,12381350
475,Ladeira Montenegro,5157,Vila Suzana Primeira Seção,Correia,MS,26671-949
476,Favela Barbosa,7269,Alípio De Melo,Souza,RO,23022791
477,Colônia de Andrade,4319,São João,Fogaça,RN,35330113
478,Via Benjamim Silva,6782,Graça,Correia de Costa,RS,45940337
479,Residencial de Alves,5200,Venda Nova,Aragão da Mata,PE,01190820
480,Praça Maria Alice Santos,7690,Alto Barroca,Pastor de Brito,TO,02464-109
481,Campo Ryan Ramos,9516,Anchieta,Rocha,PI,17102453
482,Lago Cauã Rezende,39,Mantiqueira,da Mota,RO,21266-318
483,Estação Pires,6182,Jonas Veiga,Casa Grande,AP,55508-669
484,Esplanada de da Conceição,6853,Vila Santa Monica 1ª Seção,Câmara de Cardoso,PR,51226-370
485,Parque de Duarte,3153,Betânia,da Cunha,MS,00040-085
486,Residencial de Costa,1291,Confisco,Barbosa da Praia,PE,62787-493
487,Passarela de Macedo,714,Castanheira,Oliveira,RO,02108623
488,Passarela Costa,1456,Guarani,Lima,RN,18362-484
489,Largo Ágatha Duarte,5927,Conjunto Floramar,Aparecida da Praia,SE,17264778
490,Fazenda da Cruz,7747,Marmiteiros,Borges,RJ,59079422
491,Avenida de Oliveira,89,São Francisco Das Chagas,Pires de Goiás,RJ,10835-674
492,Vale Rebeca Teixeira,8580,Anchieta,Albuquerque,RJ,79671256
493,Colônia de Gonçalves,7500,Novo Aarão Reis,Barros,PE,38188-330
494,Vale Lunna Vargas,5441,Pongelupe,Jesus Paulista,MS,19448782
495,Conjunto Paulo Lopes,2954,Vila Independencia 1ª Seção,Camargo do Galho,MG,89894-950
496,Praia Sales,3757,Vila Dos Anjos,Rocha das Pedras,SP,65437-445
497,Loteamento da Mota,5721,Vila Nossa Senhora Do Rosário,Sampaio,MA,81604-479
498,Ladeira de Alves,4597,Minas Brasil,Machado de Minas,MG,76307399
499,Condomínio da Conceição,2023,Vila Maria,Caldeira da Serra,BA,66803-091
500,Praça Isaque Rodrigues,5163,Independência,Teixeira,PB,29287-486
501,Esplanada de da Cunha,7049,Ouro Minas,Mendonça,SP,42267-891
502,Favela de da Conceição,2915,Beija Flor,Cavalcante,RO,38658-328
503,Alameda Daniela Guerra,9333,Vila Olhos D'água,Andrade,SC,77583-632
504,Estrada Farias,9949,Cachoeirinha,Guerra Verde,PE,11514237
505,Núcleo de Martins,3693,Conjunto Califórnia I,Sales do Oeste,AL,95018692
506,Pátio de Nogueira,5483,Alto Dos Pinheiros,Silva,RO,15138-203
507,Trevo Evelyn Porto,4766,Vila Canto Do Sabiá,da Mata,PA,63131329
508,Distrito Maria Julia da Rosa,9766,Nova Granada,Machado,AP,54620-189
509,Conjunto Luiz Otávio Machado,5752,Ouro Minas,Cavalcante,RJ,55977-251
510,Feira Gomes,2605,Nova Floresta,Rocha da Prata,MT,56091109
511,Recanto de Guerra,5867,Olhos D'água,Rodrigues,RR,08314-871
512,Trevo de Pastor,1744,Vila Santa Monica 1ª Seção,Rezende de Minas,MA,62783-156
513,Passarela de Casa Grande,4854,Beija Flor,Garcia,PB,29326-875
514,Distrito de Rocha,4756,Castanheira,Almeida,AM,71776-475
515,Parque João Lucas Novais,5445,Vila Nova Cachoeirinha 2ª Seção,Souza,PR,43259605
516,Condomínio Freitas,1711,Aeroporto,Pereira de Mendonça,RO,59671444
517,Vila Larissa Nascimento,3718,Jardim Dos Comerciarios,Pires,PA,32836650
518,Parque de Vargas,5855,Oeste,Cassiano,MA,80208773
519,Trevo Viana,1490,Cdi Jatoba,Cirino,PA,72022384
520,Lagoa Luiz Miguel Marques,8765,Santa Cruz,Lima do Oeste,AC,42171-382
521,Vila Nunes,5927,Vila Da Paz,Leão,AM,97247017
522,Favela Sá,8465,Luxemburgo,Borges de Fonseca,MS,43416-293
523,Viaduto Gabriel Alves,3729,Vila Madre Gertrudes 1ª Seção,Ramos,MT,66405360
524,Praça Amanda Andrade,7742,Cdi Jatoba,Fonseca de Goiás,PB,88364198
525,Recanto Manuella Machado,9604,Chácara Leonina,Rodrigues da Mata,MT,49739-866
526,Parque Macedo,1324,Vila Santa Rosa,Freitas,RO,42201863
527,Largo da Cruz,4947,Vila Da Luz,Araújo,ES,99803-704
528,Estação Peixoto,5855,Camponesa 1ª Seção,Machado de Goiás,MS,85191337
529,Aeroporto Silva,1171,Beija Flor,Gomes,ES,39107870
530,Conjunto de Ribeiro,3586,São Bernardo,Correia do Norte,GO,72253-204
531,Favela de Peixoto,1983,Vila Mangueiras,Azevedo,GO,81911020
532,Recanto Gael Henrique Vieira,3956,Álvaro Camargos,Marques,PR,72996898
533,Quadra Cassiano,1861,Boa União 1ª Seção,Vargas de Siqueira,SE,48092-179
534,Esplanada Ravi Lucca Rodrigues,690,Maria Tereza,Costa,RN,96771952
535,Área Maria Fernanda Santos,652,Conjunto Santa Maria,da Cruz,RJ,65666-536
536,Loteamento Silva,9547,Betânia,da Paz,SC,69053-125
537,Núcleo Liz Cunha,5602,Estrela Do Oriente,Andrade da Serra,MS,53548-977
538,Vale de Sales,1895,Morro Dos Macacos,Castro,TO,54884702
539,Recanto Pimenta,9272,Santa Amelia,Camargo,AL,45329-367
540,Recanto Aragão,5371,Brasil Industrial,Carvalho,MS,20133-831
541,Residencial Pinto,7960,Vila Madre Gertrudes 3ª Seção,Marques da Serra,ES,19427459
542,Vale Moraes,9103,Jardim Alvorada,Sales de Mendonça,PE,35903-132
543,Trecho Oliveira,4194,São Pedro,Brito Paulista,GO,48469669
544,Núcleo Aurora da Rosa,9656,Floresta,da Luz Alegre,PE,10180-963
545,Ladeira Freitas,3351,Miramar,Cavalcanti,SC,79945-460
546,Loteamento da Mata,1378,Casa Branca,Montenegro,AP,89828237
547,Praça de Nogueira,5716,Vila Maria,Silveira do Amparo,PE,71365401
548,Esplanada de Gonçalves,9665,Nossa Senhora Aparecida,Vieira,RS,67945-700
549,Rodovia de da Paz,6631,Vila Betânia,da Paz,RN,28748759
550,Estrada de Camargo,1178,Tupi A,Santos,MG,95526-195
551,Jardim Melo,9523,Cardoso,Sá,DF,14538-595
552,Aeroporto Felipe Dias,1225,Vila Rica,Moraes,MT,05746-736
553,Rua Anna Liz Pinto,2729,Cardoso,da Cruz,RR,82273-101
554,Fazenda Yago Viana,5311,Cidade Jardim Taquaril,Monteiro de Goiás,PB,92477504
555,Estrada de Ferreira,5591,Vila Madre Gertrudes 3ª Seção,Marques das Pedras,MT,72939-642
556,Morro Sampaio,3271,Santa Margarida,Costa do Campo,MT,04114-881
557,Viela Maria Cecília Oliveira,2905,Funcionários,da Cunha,SP,54013545
558,Avenida Sá,9635,Das Industrias I,da Costa,PE,63603990
559,Lagoa Campos,2605,Teixeira Dias,Monteiro do Norte,AC,06994-962
560,Loteamento de Costela,8957,Santo André,Araújo,MS,05113-300
561,Alameda Campos,9399,Unidas,Fonseca,SE,15772934
562,Campo de da Conceição,9621,Rio Branco,Abreu,RO,08141-877
563,Feira Anthony da Paz,8644,Silveira,Pacheco Paulista,PE,14943659
564,Loteamento de Correia,7862,Santa Cruz,Moreira do Oeste,RS,31777-644
565,Trecho de Caldeira,5437,Pindura Saia,Abreu,BA,88435975
566,Vale de Carvalho,4228,Solar Do Barreiro,Porto,MS,44416-296
567,Loteamento de Cassiano,1645,São Damião,da Conceição,RN,06749-908
568,Estação Teixeira,1701,Novo Ouro Preto,da Paz,AM,48186408
569,Via Manuella Costa,3500,Anchieta,Costa de da Cruz,RJ,02284434
570,Área Thomas Rodrigues,2025,Boa Viagem,Garcia do Oeste,PR,17168-542
571,Estrada de Sousa,994,Garças,Aragão Verde,MS,70767-892
572,Sítio da Conceição,8814,Vila Nova Cachoeirinha 2ª Seção,Moura de Ferreira,ES,00154376
573,Conjunto Sales,6297,Engenho Nogueira,Dias Verde,RR,28721-798
574,Alameda Pietro Duarte,5900,São Marcos,Silveira de Cunha,DF,13209-236
575,Jardim Pedro Henrique Peixoto,8931,Jardim São José,Vieira Paulista,AM,04822257
576,Recanto de Aparecida,4066,Belmonte,da Costa,SP,79163721
577,Pátio Joana da Mota,789,Sagrada Família,Barros,RN,55479-362
578,Praia Isaac Casa Grande,4601,Estoril,Nascimento Verde,RS,06156302
579,Núcleo da Paz,7119,Novo São Lucas,Abreu,MG,34060-329
580,Morro de Sá,1667,Pedreira Padro Lopes,Duarte,MT,91970356
581,Travessa Gomes,2075,Vila Esplanada,Oliveira,AP,63178-178
582,Aeroporto Eloah Ribeiro,7086,Europa,Nascimento do Galho,PB,81078-663
583,Sítio Giovanna Cardoso,713,Canaa,Casa Grande,AL,99284543
584,Vila de Porto,2086,Mirtes,Rodrigues,RJ,46576873
585,Ladeira de Mendes,2808,Antonio Ribeiro De Abreu 1ª Seção,Alves do Norte,TO,25229-695
586,Feira de Fonseca,692,São Gonçalo,Cirino,RN,66428-862
587,Alameda Casa Grande,5765,Bairro Das Indústrias Ii,Marques,BA,47953-088
588,Parque de Fernandes,6690,Vila Suzana Primeira Seção,Casa Grande,MA,35942874
589,Trecho de Cavalcante,1441,Pilar,Jesus do Amparo,RJ,38990227
590,Chácara de Dias,5068,Mirante,Rocha,AL,24127-817
591,Sítio Vitor Hugo Mendes,191,Fernão Dias,Sá Paulista,GO,26296473
592,Rua Ravi Garcia,5258,Frei Leopoldo,Moura de Teixeira,PR,55682-219
593,Residencial Davi Lucas Correia,8810,Vila Nova Gameleira 1ª Seção,Caldeira,MA,01656684
594,Avenida Jesus,1569,Vila Da Paz,da Rosa do Norte,PI,85650-276
595,Conjunto Antony Albuquerque,1151,Diamante,Nogueira,PR,47521737
596,Favela Barros,7049,Granja Werneck,Santos dos Dourados,RS,26260-230
597,Residencial Pires,823,Teixeira Dias,Castro,RO,26129-191
598,Aeroporto de Gonçalves,8434,Santa Lúcia,Andrade de Minas,PA,00044-618
599,Trecho de Freitas,6576,Novo Aarão Reis,Cunha,PA,70825-939
600,Estação de Barbosa,5237,Vila Tirol,Barros de da Paz,BA,66225051
601,Distrito de Rocha,9517,Floresta,Pacheco de Lopes,MS,03464346
602,Rua Maitê Monteiro,8056,Vila Nova Gameleira 1ª Seção,Pereira Alegre,CE,73115-728
603,Pátio de Câmara,2470,Conjunto Bonsucesso,Pinto,RR,79828580
604,Lagoa Vieira,6541,Madre Gertrudes,Alves,PE,91956955
605,Trevo de da Paz,6855,Santa Inês,Moura,RN,77361187
606,Chácara Ana Lívia Abreu,324,Araguaia,Cirino Grande,TO,19380-645
607,Fazenda de Cavalcanti,9144,Novo São Lucas,da Cunha,PB,35926336
608,Vereda Lopes,4121,Santa Rita De Cássia,Martins de Ribeiro,RJ,63763632
609,Loteamento Mariana Rezende,1476,Lourdes,Pacheco,BA,79802-894
610,Setor Luana Pires,7144,Vila Real 2ª Seção,Mendes das Pedras,AC,84676-570
611,Rodovia Viana,5590,Capitão Eduardo,Freitas de Melo,PI,08308-792
612,Setor Barros,3288,Floramar,Rocha,PI,31494205
613,Conjunto Luiz Otávio da Mata,8238,Maria Tereza,Cavalcante de Vasconcelos,RS,83472377
614,Estação de Barbosa,1110,Tirol,da Paz de Cavalcante,SC,80637-100
615,Estação de Abreu,6808,Conjunto Providencia,Camargo de Dias,TO,93029-835
616,Núcleo Pedro Henrique Santos,7025,Maria Tereza,Barros da Praia,CE,16299-390
617,Rodovia Vitória Cunha,6253,Vila Barragem Santa Lúcia,Rezende do Amparo,AC,32118881
618,Núcleo de Barbosa,1258,Vila Batik,Costela,RN,05851451
619,Conjunto Hellena da Cruz,6366,Jardim Montanhês,das Neves do Campo,RR,83218-304
620,Jardim Caleb Cirino,540,Vila São Geraldo,Barbosa,MT,44310090
621,Rua Macedo,3942,Trevo,Castro do Norte,GO,46850227
622,Viaduto Pietra da Rosa,7829,Novo São Lucas,Marques,RS,23226248
623,Sítio Hellena da Mata,1887,Vila Dos Anjos,Abreu do Oeste,MG,68305127
624,Favela Erick Rezende,7367,Vila Jardim Montanhes,Gomes do Campo,MT,12775-285
625,Avenida de Machado,5351,Renascença,Costela de Nascimento,RS,05159-481
626,Recanto de Vieira,5282,Alpes,Camargo,MG,66467678
627,Lago Hadassa Freitas,5993,Casa Branca,Cirino de Vieira,DF,34848172
628,Loteamento de Barros,6040,Vila Betânia,Novais,DF,97951316
629,Colônia de Duarte,8381,Canadá,Novais,MG,36708755
630,Colônia Abreu,2961,Minas Brasil,da Mata,MT,66287076
631,Viaduto Gabriela Pereira,8844,Mariano De Abreu,Camargo Paulista,TO,63354339
632,Viela Araújo,1343,Vila Nova Gameleira 2ª Seção,Albuquerque,MG,14997-064
633,Setor Nascimento,9897,Leonina,Aragão,MT,64203079
634,Residencial Maria Alice Andrade,1909,Novo São Lucas,Santos,RN,86931584
635,Avenida Rios,7695,Pindorama,Pacheco,PB,61936507
636,Lago Pereira,412,Ipiranga,Melo,DF,54944-888
637,Estrada Pires,8012,Boa Viagem,Alves da Mata,MT,27368779
638,Área de Lopes,6465,Novo Santa Cecilia,Abreu de Caldeira,SC,42716770
639,Chácara da Rosa,4621,Vila Satélite,Vieira,RO,03036266
640,Estrada de Souza,625,Santa Efigênia,Cavalcanti,RO,35236879
641,Passarela Dias,9728,Xodo-Marize,Rios,AM,23786-198
642,Pátio de Sampaio,9138,Teixeira Dias,Marques da Mata,AL,25027-166
643,Travessa de Costela,1074,Vila Bandeirantes,das Neves,SC,41867380
644,Passarela Arthur Borges,1764,Vila Madre Gertrudes 4ª Seção,Costela,SP,29447-123
645,Vereda de Ribeiro,2412,Caiçaras,Azevedo da Praia,RS,30770850
646,Morro Amanda Vargas,5521,Maria Tereza,Casa Grande,ES,09549-118
647,Campo Carlos Eduardo Ramos,3545,Vila Nova,Siqueira,RR,59310-678
648,Recanto Siqueira,552,Ouro Preto,Leão da Mata,PE,41762-913
649,Residencial de das Neves,9123,Novo Aarão Reis,Barbosa das Pedras,RS,21819-344
650,Vale Dante Ribeiro,2495,Santa Helena,Guerra das Flores,AM,22501461
651,Pátio de Cassiano,2363,Gutierrez,Viana,MS,10657881
652,Feira de Novaes,8869,Vila Calafate,Abreu,DF,72905-964
653,Feira de Moura,2680,Vila Esplanada,Pereira,SE,14590-659
654,Praia de Moura,9057,Conjunto Bonsucesso,Montenegro do Norte,MG,37852-297
655,Loteamento Maria Helena Siqueira,6023,Santo Antônio,Mendes,DF,40115-798
656,Esplanada Enzo Casa Grande,4135,Candelaria,Mendonça Alegre,RJ,78656-294
657,Fazenda Ana Clara da Paz,8067,Vila Jardim Alvorada,Cavalcanti,MA,60080765
658,Conjunto Josué Sousa,6234,Conjunto Novo Dom Bosco,Castro,MA,99086235
659,Chácara Martins,6693,Santa Helena,Vargas,RJ,55690-559
660,Chácara Theodoro Viana,7065,Vila Aeroporto,Azevedo,AL,01253-234
661,Jardim de Peixoto,4216,Manacas,Azevedo,CE,74680439
662,Fazenda Maria Julia Costa,2497,Califórnia,Peixoto,AP,79314-490
663,Loteamento Ana Clara Carvalho,8821,Ermelinda,Melo,AL,70440-919
664,Vila de Machado,5812,São Tomaz,Moraes,MG,88191-528
665,Fazenda Marques,4412,Europa,Brito de Farias,RJ,62885-325
666,Esplanada de Cardoso,9700,Glória,Cavalcante do Norte,PR,80024588
667,Loteamento Ferreira,3926,Vila São Gabriel Jacui,Rodrigues do Galho,PB,85235-119
668,Setor de Sampaio,4392,Conjunto Taquaril,Casa Grande de Ramos,SC,46281-297
669,Área Novaes,6816,Vila Primeiro De Maio,da Paz,PE,75439121
670,Alameda Gabriela Abreu,7490,Cidade Jardim Taquaril,Pastor da Prata,DF,77596161
671,Distrito Marina Peixoto,8072,Virgínia,Silva da Prata,SC,32116-006
672,Rua Cunha,3927,Pousada Santo Antonio,Mendonça,AP,67210796
673,Travessa Kamilly Leão,3681,Guarani,Montenegro,AM,06846-664
674,Rua Anna Liz Andrade,5356,Eymard,Gomes,GO,87350-252
675,Alameda Araújo,7478,Frei Leopoldo,Gomes,RN,74610201
676,Quadra de Monteiro,7455,Guaratã,Mendes do Norte,MS,42157-785
677,Área Levi Mendes,4424,Camponesa 1ª Seção,Gomes,CE,99866280
678,Viela Correia,4367,Vila Santa Monica 2ª Seção,Silveira,PA,58262-483
679,Via Ana Pires,1373,Rio Branco,Nascimento de Goiás,PA,25827-798
680,Lagoa Peixoto,7491,Santa Rita,Moraes de Moreira,RS,55708964
681,Estrada Rafael Macedo,5298,Campo Alegre,Almeida do Norte,PA,58083-195
682,Travessa Nunes,6799,Flavio Marques Lisboa,Monteiro,PR,20269534
683,Morro Novaes,9899,Jaraguá,Araújo,MT,71275-942
684,Praia Heitor Moraes,4914,Vila Rica,Rios da Serra,SP,79431872
685,Rodovia Caroline Câmara,6554,Boa Viagem,Pires do Amparo,RN,74627-255
686,Sítio de Pereira,5511,Vila Boa Vista,Barros,SC,99802-339
687,Núcleo Barbosa,5918,Havaí,Peixoto das Pedras,AC,34762519
688,Passarela Araújo,3129,Acaba Mundo,Sousa de Minas,RR,80489-656
689,Fazenda da Paz,6155,Diamante,Albuquerque de Lopes,ES,87563-037
690,Vale Juan da Paz,4043,Araguaia,Ribeiro,RR,82949-878
691,Viela de da Rosa,2006,Vila Formosa,Nogueira do Oeste,MT,22566361
692,Jardim Bryan da Mata,1077,Capitão Eduardo,Nascimento,AL,54989-200
693,Recanto Abreu,5118,São Tomaz,da Cunha,PA,95569036
694,Sítio Daniel Melo,5155,Canadá,Siqueira de da Luz,PR,82844-769
695,Esplanada Luiz Miguel Marques,9404,Funcionários,Campos do Norte,BA,69391570
696,Vereda Ana Carolina Campos,5010,Funcionários,Duarte das Flores,RR,67484-577
697,Chácara de da Cruz,9479,Manacas,da Rosa,BA,86099997
698,Esplanada Brayan Azevedo,7844,Santa Rita,Rocha,AC,81013-556
699,Lagoa de Marques,6927,Ademar Maldonado,Peixoto,PE,74005-736
700,Rodovia Araújo,973,Vila Minaslandia,da Paz,TO,24614-780
701,Viela Câmara,8466,Sport Club,Castro do Oeste,GO,06332225
702,Trevo Larissa Lopes,8573,Pongelupe,das Neves,RO,99936-593
703,Condomínio de Martins,1187,Vila Das Oliveiras,Abreu da Serra,MG,72993088
704,Esplanada Garcia,7280,Lourdes,Mendonça do Amparo,RO,25404-578
705,Colônia Maria Cecília Melo,5183,Madri,Peixoto da Serra,PA,10894333
706,Lago Eloá Nascimento,6209,Conjunto Paulo Vi,Machado,GO,81974693
